LOCATION CODE|COUNTY|AREA NAME|REGION|SCHOOL YEARS|NO. OVERWEIGHT|PCT OVERWEIGHT|NO. OBESE|PCT OBESE|NO. OVERWEIGHT OR OBESE|PCT OVERWEIGHT OR OBESE|GRADE LEVEL|AREA TYPE|STREET ADDRESS|CITY|STATE|ZIP CODE|Location 1
280506|NASSAU|OYSTER BAY-EAST NORWICH CENTRAL SCHOOL|NASSAU-SUFFOLK|2012-2013|34.0|17.2%|15.0|7.6%|49.0|24.7%|MIDDLE/HIGH|SCHOOL DISTRICT|1 MCCOUNS LN|OYSTER BAY|NY|11771.0|"1 MCCOUNS LN
OYSTER BAY, NY 11771
(40.871214111000484, -73.52500178499963)"
280515|NASSAU|JERICHO UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|133.0|12.9%|104.0|10%|237.0|22.9%|DISTRICT TOTAL|SCHOOL DISTRICT|99 CEDAR SWAMP RD|JERICHO|NY|11753.0|"99 CEDAR SWAMP RD
JERICHO, NY 11753
(40.79668077500048, -73.54205076399967)"
280515|NASSAU|JERICHO UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|63.0|12.2%|49.0|9.5%|112.0|21.7%|ELEMENTARY|SCHOOL DISTRICT|99 CEDAR SWAMP RD|JERICHO|NY|11753.0|"99 CEDAR SWAMP RD
JERICHO, NY 11753
(40.79668077500048, -73.54205076399967)"
280515|NASSAU|JERICHO UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|70.0|13.6%|55.0|10.7%|125.0|24.2%|MIDDLE/HIGH|SCHOOL DISTRICT|99 CEDAR SWAMP RD|JERICHO|NY|11753.0|"99 CEDAR SWAMP RD
JERICHO, NY 11753
(40.79668077500048, -73.54205076399967)"
280517|NASSAU|HICKSVILLE UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|194.0|13.2%|290.0|19.8%|484.0|33%|DISTRICT TOTAL|SCHOOL DISTRICT|200 DIVISION AVE-ADM|HICKSVILLE|NY|11801.0|"200 DIVISION AVE-ADM
HICKSVILLE, NY 11801
(40.758476121000456, -73.52486623499965)"
280517|NASSAU|HICKSVILLE UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|92.0|11.9%|145.0|18.8%|237.0|30.8%|ELEMENTARY|SCHOOL DISTRICT|200 DIVISION AVE-ADM|HICKSVILLE|NY|11801.0|"200 DIVISION AVE-ADM
HICKSVILLE, NY 11801
(40.758476121000456, -73.52486623499965)"
280517|NASSAU|HICKSVILLE UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|102.0|14.7%|145.0|20.8%|247.0|35.5%|MIDDLE/HIGH|SCHOOL DISTRICT|200 DIVISION AVE-ADM|HICKSVILLE|NY|11801.0|"200 DIVISION AVE-ADM
HICKSVILLE, NY 11801
(40.758476121000456, -73.52486623499965)"
280523|NASSAU|MASSAPEQUA UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|429.0|17.3%|303.0|12.2%|732.0|29.5%|DISTRICT TOTAL|SCHOOL DISTRICT|4925 MERRICK RD|MASSAPEQUA|NY|11758.0|"4925 MERRICK RD
MASSAPEQUA, NY 11758
(40.666491660000474, -73.45372101299967)"
280523|NASSAU|MASSAPEQUA UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|205.0|15.9%|165.0|12.8%|370.0|28.7%|ELEMENTARY|SCHOOL DISTRICT|4925 MERRICK RD|MASSAPEQUA|NY|11758.0|"4925 MERRICK RD
MASSAPEQUA, NY 11758
(40.666491660000474, -73.45372101299967)"
280523|NASSAU|MASSAPEQUA UNION FREE SCHOOL|NASSAU-SUFFOLK|2012-2013|224.0|18.8%|138.0|11.6%|362.0|30.3%|MIDDLE/HIGH|SCHOOL DISTRICT|4925 MERRICK RD|MASSAPEQUA|NY|11758.0|"4925 MERRICK RD
MASSAPEQUA, NY 11758
(40.666491660000474, -73.45372101299967)"
400301|NIAGARA|LEWISTON PORTER CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|129.0|16.7%|133.0|17.3%|262.0|34%|DISTRICT TOTAL|SCHOOL DISTRICT|4061 CREEK RD|YOUNGSTOWN|NY|14174.0|"4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21719486000046, -79.01770947299968)"
400301|NIAGARA|LEWISTON PORTER CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|67.0|16%|58.0|13.9%|125.0|29.9%|ELEMENTARY|SCHOOL DISTRICT|4061 CREEK RD|YOUNGSTOWN|NY|14174.0|"4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21719486000046, -79.01770947299968)"
400301|NIAGARA|LEWISTON PORTER CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|62.0|18.3%|75.0|22.1%|137.0|40.4%|MIDDLE/HIGH|SCHOOL DISTRICT|4061 CREEK RD|YOUNGSTOWN|NY|14174.0|"4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21719486000046, -79.01770947299968)"
400400|NIAGARA|LOCKPORT CITY SCHOOLS|WESTERN NEW YORK|2012-2013|410.0|20.7%|359.0|18.1%|769.0|38.8%|DISTRICT TOTAL|SCHOOL DISTRICT|130 BEATTIE AVE|LOCKPORT|NY|14094.0|"130 BEATTIE AVE
LOCKPORT, NY 14094
(43.160840822000466, -78.68047351699965)"
400400|NIAGARA|LOCKPORT CITY SCHOOLS|WESTERN NEW YORK|2012-2013|151.0|13.8%|197.0|18%|348.0|31.8%|ELEMENTARY|SCHOOL DISTRICT|130 BEATTIE AVE|LOCKPORT|NY|14094.0|"130 BEATTIE AVE
LOCKPORT, NY 14094
(43.160840822000466, -78.68047351699965)"
400400|NIAGARA|LOCKPORT CITY SCHOOLS|WESTERN NEW YORK|2012-2013|259.0|29.2%|162.0|18.3%|421.0|47.5%|MIDDLE/HIGH|SCHOOL DISTRICT|130 BEATTIE AVE|LOCKPORT|NY|14094.0|"130 BEATTIE AVE
LOCKPORT, NY 14094
(43.160840822000466, -78.68047351699965)"
401001|NIAGARA|STAR POINT CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|132.0|14.7%|148.0|16.5%|280.0|31.2%|DISTRICT TOTAL|SCHOOL DISTRICT|4363 MAPLETON RD|LOCKPORT|NY|14094.0|"4363 MAPLETON RD
LOCKPORT, NY 14094
(43.12298721100046, -78.80749184499967)"
401001|NIAGARA|STAR POINT CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|79.0|15.7%|67.0|13.3%|146.0|29%|ELEMENTARY|SCHOOL DISTRICT|4363 MAPLETON RD|LOCKPORT|NY|14094.0|"4363 MAPLETON RD
LOCKPORT, NY 14094
(43.12298721100046, -78.80749184499967)"
401001|NIAGARA|STAR POINT CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|53.0|13.7%|81.0|21%|134.0|34.7%|MIDDLE/HIGH|SCHOOL DISTRICT|4363 MAPLETON RD|LOCKPORT|NY|14094.0|"4363 MAPLETON RD
LOCKPORT, NY 14094
(43.12298721100046, -78.80749184499967)"
401301|NIAGARA|BARKER CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|50.0|14.2%|71.0|20.2%|121.0|34.5%|DISTRICT TOTAL|SCHOOL DISTRICT|1628 QUAKER RD|BARKER|NY|14012.0|"1628 QUAKER RD
BARKER, NY 14012
(43.3354864150005, -78.55510871199965)"
401301|NIAGARA|BARKER CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|30.0|14.5%|44.0|21.3%|74.0|35.7%|ELEMENTARY|SCHOOL DISTRICT|1628 QUAKER RD|BARKER|NY|14012.0|"1628 QUAKER RD
BARKER, NY 14012
(43.3354864150005, -78.55510871199965)"
401301|NIAGARA|BARKER CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|20.0|14.5%|28.0|20.3%|48.0|34.8%|MIDDLE/HIGH|SCHOOL DISTRICT|1628 QUAKER RD|BARKER|NY|14012.0|"1628 QUAKER RD
BARKER, NY 14012
(43.3354864150005, -78.55510871199965)"
401501|NIAGARA|WILSON CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|86.0|19.5%|84.0|19.1%|170.0|38.6%|DISTRICT TOTAL|SCHOOL DISTRICT|412 LAKE ST|WILSON|NY|14172.0|"412 LAKE ST
WILSON, NY 14172
(43.306349817000466, -78.82599288199964)"
401501|NIAGARA|WILSON CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|52.0|21.8%|34.0|14.2%|86.0|36%|ELEMENTARY|SCHOOL DISTRICT|412 LAKE ST|WILSON|NY|14172.0|"412 LAKE ST
WILSON, NY 14172
(43.306349817000466, -78.82599288199964)"
401501|NIAGARA|WILSON CENTRAL SCHOOL|WESTERN NEW YORK|2012-2013|34.0|17.5%|50.0|25.8%|84.0|43.3%|MIDDLE/HIGH|SCHOOL DISTRICT|412 LAKE ST|WILSON|NY|14172.0|"412 LAKE ST
WILSON, NY 14172
(43.306349817000466, -78.82599288199964)"
411504|ONEIDA|NEW YORK MILLS U F S|CENTRAL NEW YORK|2012-2013|20.0|13.8%|22.0|15.2%|42.0|29%|DISTRICT TOTAL|SCHOOL DISTRICT|1 MARAUDER BLVD|NEW YORK MILLS|NY|13417.0|"1 MARAUDER BLVD
NEW YORK MILLS, NY 13417
(43.09504744500049, -75.28937002399965)"
411504|ONEIDA|NEW YORK MILLS U F S|CENTRAL NEW YORK|2012-2013|13.0|12.5%|22.0|21.2%|35.0|33.7%|ELEMENTARY|SCHOOL DISTRICT|1 MARAUDER BLVD|NEW YORK MILLS|NY|13417.0|"1 MARAUDER BLVD
NEW YORK MILLS, NY 13417
(43.09504744500049, -75.28937002399965)"
411504|ONEIDA|NEW YORK MILLS U F S|CENTRAL NEW YORK|2012-2013|7.0|17.1%|||7.0|17.1%|MIDDLE/HIGH|SCHOOL DISTRICT|1 MARAUDER BLVD|NEW YORK MILLS|NY|13417.0|"1 MARAUDER BLVD
NEW YORK MILLS, NY 13417
(43.09504744500049, -75.28937002399965)"
411603|ONEIDA|SAUQUOIT VALLEY CENTRAL|CENTRAL NEW YORK|2012-2013|49.0|16.4%|63.0|21.1%|112.0|37.5%|DISTRICT TOTAL|SCHOOL DISTRICT|2601 ONEIDA ST|SAUQUOIT|NY|13456.0|"2601 ONEIDA ST
SAUQUOIT, NY 13456
(42.98831268900045, -75.25324806699967)"
411603|ONEIDA|SAUQUOIT VALLEY CENTRAL|CENTRAL NEW YORK|2012-2013|26.0|16.8%|32.0|20.6%|58.0|37.4%|ELEMENTARY|SCHOOL DISTRICT|2601 ONEIDA ST|SAUQUOIT|NY|13456.0|"2601 ONEIDA ST
SAUQUOIT, NY 13456
(42.98831268900045, -75.25324806699967)"
411603|ONEIDA|SAUQUOIT VALLEY CENTRAL|CENTRAL NEW YORK|2012-2013|21.0|15%|31.0|22.1%|52.0|37.1%|MIDDLE/HIGH|SCHOOL DISTRICT|2601 ONEIDA ST|SAUQUOIT|NY|13456.0|"2601 ONEIDA ST
SAUQUOIT, NY 13456
(42.98831268900045, -75.25324806699967)"
411701|ONEIDA|REMSEN CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|19.0|14.5%|24.0|18.3%|43.0|32.8%|DISTRICT TOTAL|SCHOOL DISTRICT|DAVIS DR|REMSEN|NY|13438.0|"DAVIS DR
REMSEN, NY 13438
(43.34554650000047, -75.16433825199965)"
411701|ONEIDA|REMSEN CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|8.0|11.8%|8.0|11.8%|16.0|23.5%|ELEMENTARY|SCHOOL DISTRICT|DAVIS DR|REMSEN|NY|13438.0|"DAVIS DR
REMSEN, NY 13438
(43.34554650000047, -75.16433825199965)"
411701|ONEIDA|REMSEN CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|||18.0|33.3%|18.0|33.3%|MIDDLE/HIGH|SCHOOL DISTRICT|DAVIS DR|REMSEN|NY|13438.0|"DAVIS DR
REMSEN, NY 13438
(43.34554650000047, -75.16433825199965)"
411800|ONEIDA|ROME CITY SCHOOLS|CENTRAL NEW YORK|2012-2013|386.0|19.2%|500.0|24.9%|886.0|44%|DISTRICT TOTAL|SCHOOL DISTRICT|409 BELL RD|ROME|NY|13440.0|"409 BELL RD
ROME, NY 13440
(43.221832777000486, -75.42672047299965)"
411800|ONEIDA|ROME CITY SCHOOLS|CENTRAL NEW YORK|2012-2013|244.0|19.2%|308.0|24.2%|552.0|43.4%|ELEMENTARY|SCHOOL DISTRICT|409 BELL RD|ROME|NY|13440.0|"409 BELL RD
ROME, NY 13440
(43.221832777000486, -75.42672047299965)"
411800|ONEIDA|ROME CITY SCHOOLS|CENTRAL NEW YORK|2012-2013|142.0|19.2%|192.0|25.9%|334.0|45.1%|MIDDLE/HIGH|SCHOOL DISTRICT|409 BELL RD|ROME|NY|13440.0|"409 BELL RD
ROME, NY 13440
(43.221832777000486, -75.42672047299965)"
412201|ONEIDA|HOLLAND PATENT CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|57.0|13.3%|46.0|10.8%|103.0|24.1%|DISTRICT TOTAL|SCHOOL DISTRICT|9601 MAIN ST|HOLLAND PATENT|NY|13354.0|"9601 MAIN ST
HOLLAND PATENT, NY 13354
(43.2435316100005, -75.25362516999968)"
412201|ONEIDA|HOLLAND PATENT CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|31.0|13.6%|||31.0|13.6%|ELEMENTARY|SCHOOL DISTRICT|9601 MAIN ST|HOLLAND PATENT|NY|13354.0|"9601 MAIN ST
HOLLAND PATENT, NY 13354
(43.2435316100005, -75.25362516999968)"
412201|ONEIDA|HOLLAND PATENT CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|26.0|13.5%|41.0|21.2%|67.0|34.7%|MIDDLE/HIGH|SCHOOL DISTRICT|9601 MAIN ST|HOLLAND PATENT|NY|13354.0|"9601 MAIN ST
HOLLAND PATENT, NY 13354
(43.2435316100005, -75.25362516999968)"
412801|ONEIDA|WESTMORELAND CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|51.0|17.2%|70.0|23.6%|121.0|40.7%|DISTRICT TOTAL|SCHOOL DISTRICT|5176 RT 233|WESTMORELAND|NY|13490.0|"5176 RT 233
WESTMORELAND, NY 13490
(43.112370686000475, -75.40319133099968)"
412801|ONEIDA|WESTMORELAND CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|34.0|18.9%|36.0|20%|70.0|38.9%|ELEMENTARY|SCHOOL DISTRICT|5176 RT 233|WESTMORELAND|NY|13490.0|"5176 RT 233
WESTMORELAND, NY 13490
(43.112370686000475, -75.40319133099968)"
412801|ONEIDA|WESTMORELAND CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|17.0|14.9%|34.0|29.8%|51.0|44.7%|MIDDLE/HIGH|SCHOOL DISTRICT|5176 RT 233|WESTMORELAND|NY|13490.0|"5176 RT 233
WESTMORELAND, NY 13490
(43.112370686000475, -75.40319133099968)"
412902|ONEIDA|WHITESBORO CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|152.0|15.4%|153.0|15.5%|305.0|30.9%|DISTRICT TOTAL|SCHOOL DISTRICT|67 WHITESBORO ST|YORKVILLE|NY|13495.0|"67 WHITESBORO ST
YORKVILLE, NY 13495
(43.115371781000476, -75.27479284099962)"
412902|ONEIDA|WHITESBORO CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|74.0|15.5%|66.0|13.8%|140.0|29.4%|ELEMENTARY|SCHOOL DISTRICT|67 WHITESBORO ST|YORKVILLE|NY|13495.0|"67 WHITESBORO ST
YORKVILLE, NY 13495
(43.115371781000476, -75.27479284099962)"
412902|ONEIDA|WHITESBORO CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|70.0|17.5%|69.0|17.3%|139.0|34.8%|MIDDLE/HIGH|SCHOOL DISTRICT|67 WHITESBORO ST|YORKVILLE|NY|13495.0|"67 WHITESBORO ST
YORKVILLE, NY 13495
(43.115371781000476, -75.27479284099962)"
420401|ONONDAGA|EAST SYRACUSE-MINOA CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|269.0|16.8%|262.0|16.4%|531.0|33.2%|DISTRICT TOTAL|SCHOOL DISTRICT|407 FREMONT RD|EAST SYRACUSE|NY|13057.0|"407 FREMONT RD
EAST SYRACUSE, NY 13057
(43.06637164300048, -76.03046233799967)"
420401|ONONDAGA|EAST SYRACUSE-MINOA CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|118.0|15%|126.0|16%|244.0|31%|ELEMENTARY|SCHOOL DISTRICT|407 FREMONT RD|EAST SYRACUSE|NY|13057.0|"407 FREMONT RD
EAST SYRACUSE, NY 13057
(43.06637164300048, -76.03046233799967)"
420401|ONONDAGA|EAST SYRACUSE-MINOA CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|151.0|18.6%|136.0|16.8%|287.0|35.4%|MIDDLE/HIGH|SCHOOL DISTRICT|407 FREMONT RD|EAST SYRACUSE|NY|13057.0|"407 FREMONT RD
EAST SYRACUSE, NY 13057
(43.06637164300048, -76.03046233799967)"
420411|ONONDAGA|JAMESVILLE-DEWITT CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|115.0|13%|117.0|13.2%|232.0|26.2%|DISTRICT TOTAL|SCHOOL DISTRICT|6845 EDINGER DR|DEWITT|NY|13214.0|"6845 EDINGER DR
DEWITT, NY 13214
(43.01668293600045, -76.04779380099967)"
420411|ONONDAGA|JAMESVILLE-DEWITT CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|60.0|12%|62.0|12.4%|122.0|24.5%|ELEMENTARY|SCHOOL DISTRICT|6845 EDINGER DR|DEWITT|NY|13214.0|"6845 EDINGER DR
DEWITT, NY 13214
(43.01668293600045, -76.04779380099967)"
420411|ONONDAGA|JAMESVILLE-DEWITT CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|55.0|14.2%|55.0|14.2%|110.0|28.5%|MIDDLE/HIGH|SCHOOL DISTRICT|6845 EDINGER DR|DEWITT|NY|13214.0|"6845 EDINGER DR
DEWITT, NY 13214
(43.01668293600045, -76.04779380099967)"
420601|ONONDAGA|FABIUS-POMPEY CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|57.0|21.5%|62.0|23.4%|119.0|44.9%|DISTRICT TOTAL|SCHOOL DISTRICT|1211 MILL ST|FABIUS|NY|13063.0|"1211 MILL ST
FABIUS, NY 13063
(42.83040046800045, -75.98668777899968)"
420601|ONONDAGA|FABIUS-POMPEY CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|39.0|24.5%|46.0|28.9%|85.0|53.5%|ELEMENTARY|SCHOOL DISTRICT|1211 MILL ST|FABIUS|NY|13063.0|"1211 MILL ST
FABIUS, NY 13063
(42.83040046800045, -75.98668777899968)"
420601|ONONDAGA|FABIUS-POMPEY CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|18.0|17.3%|14.0|13.5%|32.0|30.8%|MIDDLE/HIGH|SCHOOL DISTRICT|1211 MILL ST|FABIUS|NY|13063.0|"1211 MILL ST
FABIUS, NY 13063
(42.83040046800045, -75.98668777899968)"
420702|ONONDAGA|SOLVAY UNION FREE SCHOOL|CENTRAL NEW YORK|2012-2013|112.0|17.9%|108.0|17.3%|220.0|35.3%|DISTRICT TOTAL|SCHOOL DISTRICT|103 3RD ST|SOLVAY|NY|13209.0|"103 3RD ST
SOLVAY, NY 13209
(43.060126841000454, -76.21400121199963)"
420702|ONONDAGA|SOLVAY UNION FREE SCHOOL|CENTRAL NEW YORK|2012-2013|75.0|20.8%|63.0|17.5%|138.0|38.2%|ELEMENTARY|SCHOOL DISTRICT|103 3RD ST|SOLVAY|NY|13209.0|"103 3RD ST
SOLVAY, NY 13209
(43.060126841000454, -76.21400121199963)"
420702|ONONDAGA|SOLVAY UNION FREE SCHOOL|CENTRAL NEW YORK|2012-2013|37.0|14.5%|45.0|17.6%|82.0|32.2%|MIDDLE/HIGH|SCHOOL DISTRICT|103 3RD ST|SOLVAY|NY|13209.0|"103 3RD ST
SOLVAY, NY 13209
(43.060126841000454, -76.21400121199963)"
420901|ONONDAGA|BALDWINSVILLE CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|287.0|16.9%|227.0|13.3%|514.0|30.2%|DISTRICT TOTAL|SCHOOL DISTRICT|29 E ONEIDA ST|BALDWINSVILLE|NY|13027.0|"29 E ONEIDA ST
BALDWINSVILLE, NY 13027
(43.16203228100045, -76.33914979199966)"
420901|ONONDAGA|BALDWINSVILLE CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|153.0|16.1%|130.0|13.6%|283.0|29.7%|ELEMENTARY|SCHOOL DISTRICT|29 E ONEIDA ST|BALDWINSVILLE|NY|13027.0|"29 E ONEIDA ST
BALDWINSVILLE, NY 13027
(43.16203228100045, -76.33914979199966)"
420901|ONONDAGA|BALDWINSVILLE CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|134.0|18%|97.0|13%|231.0|31%|MIDDLE/HIGH|SCHOOL DISTRICT|29 E ONEIDA ST|BALDWINSVILLE|NY|13027.0|"29 E ONEIDA ST
BALDWINSVILLE, NY 13027
(43.16203228100045, -76.33914979199966)"
421001|ONONDAGA|FAYVILL-MANLIUS CENT SCH|CENTRAL NEW YORK|2012-2013|181.0|13.5%|120.0|9%|301.0|22.5%|DISTRICT TOTAL|SCHOOL DISTRICT|8199 E SENECA TPKE|MANLIUS|NY|13104.0|"8199 E SENECA TPKE
MANLIUS, NY 13104
(43.007042295000474, -75.96066718999964)"
421001|ONONDAGA|FAYVILL-MANLIUS CENT SCH|CENTRAL NEW YORK|2012-2013|112.0|14.4%|74.0|9.5%|186.0|23.9%|ELEMENTARY|SCHOOL DISTRICT|8199 E SENECA TPKE|MANLIUS|NY|13104.0|"8199 E SENECA TPKE
MANLIUS, NY 13104
(43.007042295000474, -75.96066718999964)"
421001|ONONDAGA|FAYVILL-MANLIUS CENT SCH|CENTRAL NEW YORK|2012-2013|69.0|12.7%|35.0|6.4%|104.0|19.2%|MIDDLE/HIGH|SCHOOL DISTRICT|8199 E SENECA TPKE|MANLIUS|NY|13104.0|"8199 E SENECA TPKE
MANLIUS, NY 13104
(43.007042295000474, -75.96066718999964)"
421201|ONONDAGA|ONONDAGA CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|57.0|17.1%|77.0|23.1%|134.0|40.2%|DISTRICT TOTAL|SCHOOL DISTRICT|4466 S ONONDAGA RD|NEDROW|NY|13120.0|"4466 S ONONDAGA RD
NEDROW, NY 13120
(42.9306725290005, -76.20539983199967)"
421201|ONONDAGA|ONONDAGA CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|36.0|18.5%|37.0|19%|73.0|37.4%|ELEMENTARY|SCHOOL DISTRICT|4466 S ONONDAGA RD|NEDROW|NY|13120.0|"4466 S ONONDAGA RD
NEDROW, NY 13120
(42.9306725290005, -76.20539983199967)"
421201|ONONDAGA|ONONDAGA CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|21.0|15.3%|40.0|29.2%|61.0|44.5%|MIDDLE/HIGH|SCHOOL DISTRICT|4466 S ONONDAGA RD|NEDROW|NY|13120.0|"4466 S ONONDAGA RD
NEDROW, NY 13120
(42.9306725290005, -76.20539983199967)"
421800|ONONDAGA|SYRACUSE CITY SCHOOLS|CENTRAL NEW YORK|2012-2013|1140.0|17.8%|1520.0|23.7%|2660.0|41.5%|DISTRICT TOTAL|SCHOOL DISTRICT|725 HARRISON ST|SYRACUSE|NY|13210.0|"725 HARRISON ST
SYRACUSE, NY 13210
(43.04428636400047, -76.14052406199966)"
421800|ONONDAGA|SYRACUSE CITY SCHOOLS|CENTRAL NEW YORK|2012-2013|764.0|18%|941.0|22.2%|1705.0|40.3%|ELEMENTARY|SCHOOL DISTRICT|725 HARRISON ST|SYRACUSE|NY|13210.0|"725 HARRISON ST
SYRACUSE, NY 13210
(43.04428636400047, -76.14052406199966)"
421800|ONONDAGA|SYRACUSE CITY SCHOOLS|CENTRAL NEW YORK|2012-2013|376.0|17.2%|579.0|26.5%|955.0|43.8%|MIDDLE/HIGH|SCHOOL DISTRICT|725 HARRISON ST|SYRACUSE|NY|13210.0|"725 HARRISON ST
SYRACUSE, NY 13210
(43.04428636400047, -76.14052406199966)"
421902|ONONDAGA|TULLY CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|34.0|13.2%|42.0|16.3%|76.0|29.5%|DISTRICT TOTAL|SCHOOL DISTRICT|20 STATE ST|TULLY|NY|13159.0|"20 STATE ST
TULLY, NY 13159
(42.796639109000466, -76.10998513699963)"
421902|ONONDAGA|TULLY CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|16.0|11.9%|22.0|16.4%|38.0|28.4%|ELEMENTARY|SCHOOL DISTRICT|20 STATE ST|TULLY|NY|13159.0|"20 STATE ST
TULLY, NY 13159
(42.796639109000466, -76.10998513699963)"
421902|ONONDAGA|TULLY CENTRAL SCHOOL|CENTRAL NEW YORK|2012-2013|18.0|14.5%|20.0|16.1%|38.0|30.6%|MIDDLE/HIGH|SCHOOL DISTRICT|20 STATE ST|TULLY|NY|13159.0|"20 STATE ST
TULLY, NY 13159
(42.796639109000466, -76.10998513699963)"
430700|ONTARIO|GENEVA CITY SCHOOLS|FINGER LAKES|2012-2013|125.0|20.7%|145.0|24%|270.0|44.8%|DISTRICT TOTAL|SCHOOL DISTRICT|400 W NORTH ST|GENEVA|NY|14456.0|"400 W NORTH ST
GENEVA, NY 14456
(42.87616614300049, -76.99658533399963)"
430700|ONTARIO|GENEVA CITY SCHOOLS|FINGER LAKES|2012-2013|78.0|19.7%|91.0|23%|169.0|42.7%|ELEMENTARY|SCHOOL DISTRICT|400 W NORTH ST|GENEVA|NY|14456.0|"400 W NORTH ST
GENEVA, NY 14456
(42.87616614300049, -76.99658533399963)"
430700|ONTARIO|GENEVA CITY SCHOOLS|FINGER LAKES|2012-2013|47.0|23.4%|54.0|26.9%|101.0|50.2%|MIDDLE/HIGH|SCHOOL DISTRICT|400 W NORTH ST|GENEVA|NY|14456.0|"400 W NORTH ST
GENEVA, NY 14456
(42.87616614300049, -76.99658533399963)"
430901|ONTARIO|GORHAM-MDLSEX CENT SCH|FINGER LAKES|2012-2013|76.0|17.9%|78.0|18.4%|154.0|36.2%|DISTRICT TOTAL|SCHOOL DISTRICT|4100 BALDWIN RD|RUSHVILLE|NY|14544.0|"4100 BALDWIN RD
RUSHVILLE, NY 14544
(42.77705492700045, -77.21639691699966)"
430901|ONTARIO|GORHAM-MDLSEX CENT SCH|FINGER LAKES|2012-2013|45.0|17.8%|38.0|15%|83.0|32.8%|ELEMENTARY|SCHOOL DISTRICT|4100 BALDWIN RD|RUSHVILLE|NY|14544.0|"4100 BALDWIN RD
RUSHVILLE, NY 14544
(42.77705492700045, -77.21639691699966)"
430901|ONTARIO|GORHAM-MDLSEX CENT SCH|FINGER LAKES|2012-2013|31.0|18.6%|40.0|24%|71.0|42.5%|MIDDLE/HIGH|SCHOOL DISTRICT|4100 BALDWIN RD|RUSHVILLE|NY|14544.0|"4100 BALDWIN RD
RUSHVILLE, NY 14544
(42.77705492700045, -77.21639691699966)"
431101|ONTARIO|MANCHESTER-SHORTSVILLE SCHOOL DISTRICT|FINGER LAKES|2012-2013|44.0|16.2%|60.0|22.1%|104.0|38.2%|DISTRICT TOTAL|SCHOOL DISTRICT|1506 RT 21|SHORTSVILLE|NY|14548.0|"1506 RT 21
SHORTSVILLE, NY 14548
(42.9597192490005, -77.23029804499964)"
